Agency,ContactEmail,ContactName,ContactPhone,CustomId,ProjectNumber,ProjectType,additional_information,award_description,awarded_to,contract_amount,published_date,sub_contract_award
"Amherst, Town of 4 Boltwood Ave.Amherst, MA 01002",Notify email address listed when final publish date assigned.,Nathaniel Malloy,413-259-3040,CAN2/1/20162/10/201600000,MA150003,General Contract , ,"Restroom Renovation at the Bangs Community Center:  Scope of work includes renovation of existing bathrooms including demolition, tile, partitions, carpentry, painting, plumbing and electrical.","Renaissance BuildersP.O. Box 207Turners Falls, MA 01376","$102,543", 2/3/2016, 
"Andover, Town of36 Bartlet St.Andover, MA 01810",Notify email address listed when final publish date assigned.,"Thomas P. Watkins, Purchasing Agent",978-623-8216,CAN2/1/20162/10/201600001,009/09-15/185,General Contract , ,On-call Security Systems Repairs and Maintenance Services.,"Schneider Electric, 800 Federal St., Andover, MA 01810; American Alarm & Communications, Inc., 297 Broadway, Arlington, MA 02474; Pasek Corp., 9 West 3rd St., Boston, MA 02127.",Various Unit Prices, 2/3/2016, 
"Cambridge, City of 795 Massachusetts Ave. Room 303Cambridge MA 02139",Do not notify email address listed when final publish date assigned.,Amy L. Witts,617-349-4310,CAN2/1/20162/10/201600002,7099,General Contract , ,Fence Repairs.,"Steelco Chain Link Fence19 Brook Rd.Needham, MA 02494","$266,474", 2/3/2016, 
"Cambridge, City of 795 Massachusetts Ave. Room 303Cambridge, MA 02139",Do not notify email address listed when final publish date assigned.,Amy L. Witts,617-349-4310,CAN2/1/20162/10/201600003,7100,General Contract , ,Miscellaneous HVAC Projects.,"Patrick J Kennedy & Sons39 Gibson St.Boston, MA 02122","$86,900", 2/3/2016, 
"Chelsea Soldiers' Home100 Summit Ave.Chelsea, MA 02150",Do not notify email address listed when final publish date assigned.,"Robert Maniatis, Director of Facilities",617-884-5660,CAN2/1/20162/10/201600004,CHE2011-01,Designer Services , ,"Study and Design for Various Building Repairs and Renovations at the Chelsea Soldiers' Home (DSB List #11-04, Item #1) (House Doctor).","Miller Dyer Spears, Inc.99 Chauncy St.Boston, MA 02111","$500,000", 2/3/2016, 
"East Longmeadow, Town ofHousing Authority81 Quarry HillEast Longmeadow, MA 01028",Notify email address listed when final publish date assigned.,James M. Mazik,413-781-6045,CAN2/1/20162/10/201600005,DHCD FISH# 085035,General Contract , ,Entry security improvements:  Replacement of 16 exterior doors and installation of an intercom and entry buzzer system at each entryway.,"W.J. Quinn Co.94 Maple St. RearEast Longmeadow, MA 01028","$143,591", 2/3/2016, 
"Education Cooperative, The (TEC)P.O. Box 1861112 High St.Dedham, MA 02027",Notify email address listed when final publish date assigned.,Daniel Shovak,781-326-2473,CAN2/1/20162/10/201600006, ,Real Property , ,The Education Cooperative invites proposals to lease office and classroom space.  The preferred location is in the Metro West area of Massachusetts with proximity and accessibility to Route 128.,"141 Washington Street LLC56 Providence Highway/Route 1Norwood, MA 02062","$13,322,775", 2/3/2016, 
"Fish and Game, Department of (DFG)Fisheries and Wildlife, Division of (DFW)1 Rabbit Hill Rd.Westborough, MA 01581",Do not notify email address listed when final publish date assigned.,Lori Cookman,508-389-6300,CAN2/1/20162/10/201600007,DFW-2016-015,General Contract , ,"All labor, materials, equipment and incidentals for redevelopment of a gravel-packed well, refurbishment of the well’s existing vertical turbine pump and motor, and supply and complete installation of a new replacement turbine pump and motor well and all other incidental work necessary for a complete job.","Denis L. Maher Co., LLC P.O. Box 130Ayer, MA 01432","$41,100", 2/3/2016, 
"Ludlow, Town of Board of Selectmen488 Chapin St.Ludlow, MA 01056",Do not notify email address listed when final publish date assigned.,"Ellie Villano, Town Administrator",413-583-5600,CAN2/1/20162/10/201600008,RFP 2015-4,  , ,The Town of Ludlow is seeking to purchase a parcel of land to be used as a public cemetery and possibly other municipal use depending on the size of the parcel.,"Machado Family Nominee Real Estate TrustLudlow, MA 01056","$300,000", 2/3/2016, 
"Lynn, City ofPurchasing Department3 City Hall Square Room 205Lynn, MA 01901",Notify email address listed when final publish date assigned.,Charles E. White,781-586-6893,CAN2/1/20162/10/201600009,03-216,General Contract , ,Asbestos Abatement and Related Services for the City of Lynn Inspectional Services Department.,"New England Surface Maintenance, LLP, 850 Washington St., Weymouth, MA 02189; Green Environmental, Inc., 296 Weymouth St., Rockland, MA 02370.",Various Unit Prices, 2/3/2016, 
"Quincy, City ofHousing Authority80 Clay St.Quincy, MA 02170",Notify email address listed when final publish date assigned.,Ray Vincent,508-884-5094,CAN2/1/20162/10/201600010,243140,General Contract , ,Replacement of Hot Water Heaters at Sawyer Towers.,"Araujo Brothers Plumbing, Inc.P.O. Box 50225New Bedford, MA 02745","$108,000", 2/3/2016, 
"Southeastern Regional Services Group (SERSG)6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN2/1/20162/10/201600011, ,General Contract , ,"Epoxy Traffic Line Painting on an as-needed basis for the City of Taunton and Towns of Bridgewater, Canton and West Bridgewater, 2/1/16 - 1/31/17.","Highway Safety Systems, Inc.9 Rockview WayRockland, MA 02370","$86,385", 2/3/2016, 
"Southeastern Regional Services Group (SERSG)6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN2/1/20162/10/201600012, ,General Contract , ,"Epoxy Traffic Line Painting on an as-needed basis for the Towns of Abington, Stoughton and Wrentham, 2/1/16 - 1/31/17.","Markings, Inc.30 Riverside DrivePembroke, MA 02359","$30,504.50", 2/3/2016, 
"Southeastern Regional Services Group (SERSG)6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN2/1/20162/10/201600013, ,General Contract , ,"Thermoplastic Traffic Line Painting on an as-needed basis for the City of Taunton and the Towns of Canton, East Bridgewater, Easton, Norfolk and Norton, 2/1/16 - 1/31/17.","Hi-Way Safety Systems, Inc.9 Rockview WayRockland, MA 02370","$110,050", 2/3/2016, 
"Southeastern Regional Services Group (SERSG)6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN2/1/20162/10/201600014, ,General Contract , ,"Thermoplastic Traffic Line Painting on an as-needed basis for the Town of Stoughton, 2/1/16 - 1/31/17.","Markings, Inc.30 Riverside DrivePembroke, MA 02359","$14,825", 2/3/2016, 
"Southeastern Regional Services Group (SERSG)6 Park RowMansfield, MA 02048",Do not notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN2/1/20162/10/201600015, ,General Contract , ,"Traffic Line Painting, Chlorinated Rubber on an as-needed basis for the Town of Abington, 2/1/16 - 1/31/17.","Markings, Inc.30 Riverside DrivePembroke, MA 02359","$5,176.75", 2/3/2016, 
"Southeastern Regional Services Group (SERSG)6 Park RowMansfield, MA 02048",Notify email address listed when final publish date assigned.,Moira Rouse,508-851-6441,CAN2/1/20162/10/201600016, ,General Contract , ,"Traffic Line Painting, Chlorinated Rubber, on an as-needed basis for the City of Taunton and tge Towns of Canton, East Bridgewater, Easton, Foxborough, Lakeville, Middleborough, Norfolk, Norton, Raynham and West Bridgewater, 2/1/16 - 1/31/17.","Highway Safety Systems, Inc.9 Rockview WayRockland, MA 02370","$185,340.85", 2/3/2016, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA 02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN2/1/20162/10/201600017,601986,General Contract , ,Andover:  Steel Bridge Superstructure Replacement (Bridge No. A-09-011) on North Main St./Route 28 over the MBTA and Pan Am Railroads.,"M.A.S. Building & Bridge, Inc.18 Sharon Ave.Norfolk, MA 02056","$6,953,404.10", 2/3/2016, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA 02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN2/1/20162/10/201600018,607821,General Contract , ,"Billerica:  Construction of a New MassDOT Maintenance Facility Including a Maintenance Building, Salt Varm and Chemical Storage Shed at Intersection of Route 3/Exit 27 and Concord Rd.","G.V.W., Inc.1200 Bennington St.East Boston, MA 02128","$4,938,600", 2/3/2016, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA 02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN2/1/20162/10/201600019,606997,General Contract , ,"Boston, Braintree, Milton and Weymouth:  Storm Water Improvements at Various Locations along Sections of Interstate 93 and Routes 3 and 18.","Newport Construction Corp.145 Temple St.Nashua, NH 03060","$1,125,939", 2/3/2016, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA 02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN2/1/20162/10/201600020,608072,General Contract , ,Boston:  EZ-Pass Service Center Improvements and Upgrades at 145 Havre St.,"N.E.L. Corp.3 Ajootian Way Building BMiddleton, MA 01949","$2,247,062", 2/3/2016, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA 02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN2/1/20162/10/201600021,606889,General Contract , ,Boston:  Streetscape Improvements and Related Work along Gainsborough and St. Botolph Streets.,"A. R. Belli, Inc.271 Nevada St.Newtonville, MA 02460","$3,701,174", 2/3/2016, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA 02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN2/1/20162/10/201600022,607388,General Contract , ,District 3:  Scheduled and Emergency Bridge Structural Repairs.,"S.P.S. New England, Inc.98 Elm St.Salisbury, MA 01952","$2,755,674.50", 2/3/2016, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA 02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN2/1/20162/10/201600023,607933,General Contract , ,District 5:  Installation and Replacement of Delineator Posts at Various Locations.,"Hi-Way Safety Systems, Inc.9 Rockview WayRockland, MA 02370","$400,802.50", 2/3/2016, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA 02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN2/1/20162/10/201600024,607926,General Contract , ,District 5:  Pavement Repairs and Improvements at Various Locations in Area D Barnstable County.,"Lawrence-Lynch Corp.396 Gifford St.Falmouth, MA 02540","$1,997,935", 2/3/2016, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA 02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN2/1/20162/10/201600025,607925,General Contract , ,"District 5:  Pavement Repairs and Improvements at Various Locations in Areas A, B and C.","Aggregate Industries, Northeast Region, Inc.1715 BroadwaySaugus, MA 01906","$4,995,208.72", 2/3/2016, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA 02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN2/1/20162/10/201600026,607934,General Contract , ,District 5:  Scheduled and Emergency Bridge Structural Repairs at Various Locations.,"S.P.S. New England, Inc.98 Elm St.Salisbury, MA 01952","$4,960,474.20", 2/3/2016, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA 02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN2/1/20162/10/201600027,607984,General Contract , ,District 6:  Bridge Drainage Repair and Improvements at Various Locations.,"R. Zoppo Corp.160 Old Maple St.Stoughton, MA 02072","$1,749,840", 2/3/2016, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA 02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN2/1/20162/10/201600028,606095,General Contract , ,District 6:  Scheduled and Emergency Bridge Structure and Substructure Repairs at Various Locations.,"N.E.L. Corp.3 Ajootian Way Building BMiddleton, MA 01949","$6,354,233", 2/3/2016, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA 02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN2/1/20162/10/201600029,607910,General Contract , ,Framingham:  Concrete Bridge Rehabilitation (Bridge No. F-07-018) on Mount Wayte Ave. over the CSX Railroad.,"N.E.L. Corp.3 Ajootian Way Building BMiddleton, MA 01949","$1,214,403", 2/3/2016, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA 02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN2/1/20162/10/201600030,607001,General Contract , ,"Longmeadow, Springfield, Templeton and Westfield:  Storm Water Improvements at Four Locations along a Section of Interstate 91 and Routes 2, 5 and 20.","A. Pereira Construction Co., Inc.11 Chapin St.Ludlow, MA 01056","$798,195", 2/3/2016, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA 02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN2/1/20162/10/201600031,605066,General Contract , ,Northampton:  Roundabout Construction and Related Work at Conz and Pleasant St./Route 5.,"Gomes Construction Co., Inc.136 Carmelina's CircleLudlow, MA 01056","$2,207,838.65", 2/3/2016, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA 02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN2/1/20162/10/201600032,607725,General Contract , ,Sturbridge and Hopkinton:  Construction of a Salt Storage Shed at Two MassDOT Maintenance Depots.,"Construction Dynamics, Inc.65 Parker St.Clinton, MA 01510","$892,300", 2/3/2016, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6261Boston, MA 02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN2/1/20162/10/201600033, ,General Contract , ,Billerica:  Roadway Reconstruction and Related Work along a Section of Allen Rd.,"J. Tropeano, Inc.1780 Osgood St.North Andover, MA 01845","$6,081,026", 2/3/2016, 
